>> myRootFailedAt(:,[3:4,6])
ans =
                  number              root               row in sideByside

                   128                100002                   421
                   128                100003                   422
                   128                100004                   423
                   128                100005                   424
                   128                100006                   425
                   128                100007                   426
                   128                100008                   427
                   128                100009                   428
                   128                100010                   429
                   128                100011                   430
                   128                100012                   431
                   128                100013                   432
                   128                100014                   433
                   128                100015                   434
                   128                100016                   435
                   128                100017                   436
                   128                100018                   437
                   128                100019                   438
                   128                100020                   439
                   128                100021                   440
                   128                200002                   441
                   128                200003                   442
                   128                200004                   443
                   128                200005                   444
                   128                200006                   445
                   128                200007                   446
                   128                200008                   447
                   128                200009                   448
                   128                200010                   449
                   128                200011                   450
                   128                200012                   451
                   128                200013                   452
                   128                200014                   453
                   128                200015                   454
                   128                200016                   455
                   128                200017                   456
                   128                200018                   457
                   128                200019                   458
                   128                200020                   459
                   128                200021                   460
                   128                300002                   461
                   128                300003                   462
                   128                300004                   463
                   128                300005                   464
                   128                300006                   465
                   128                300007                   466
                   128                300008                   467
                   128                300009                   468
                   128                300010                   469
                   128                300011                   470
                   128                300012                   471
                   128                300013                   472
                   128                300014                   473
                   128                300015                   474
                   128                300016                   475
                   128                300017                   476
                   128                300018                   477
                   128                300019                   478
                   128                300020                   479
                   128                300021                   480
                   128                400002                   481
                   128                400003                   482
                   128                400004                   483
                   128                400005                   484
                   128                400006                   485
                   128                400007                   486
                   128                400008                   487
                   128                400009                   488
                   128                400010                   489
                   128                400011                   490
                   128                400012                   491
                   128                400013                   492
                   128                400014                   493
                   128                400015                   494
                   128                400016                   495
                   128                400017                   496
                   128                400018                   497
                   128                400019                   498
                   128                400020                   499
                   128                400021                   500
                   128                500002                   501
                   128                500003                   502
                   128                500004                   503
                   128                500005                   504
                   128                500006                   505
                   128                500007                   506
                   128                500008                   507
                   128                500009                   508
                   128                500010                   509
                   128                500011                   510
                   128                500012                   511
                   128                500013                   512
                   128                500014                   513
                   128                500015                   514
                   128                500016                   515
                   128                500017                   516
                   128                500018                   517
                   128                500019                   518
                   128                500020                   519
                   128                500021                   520
                   128                600002                   521
                   128                600003                   522
                   128                600004                   523
                   128                600005                   524
                   128                600006                   525
                   128                600007                   526
                   128                600008                   527
                   128                600009                   528
                   128                600010                   529
                   128                600011                   530
